state,date,total_cases,deaths
SP,2020-02-25,1,0
TOTAL,2020-02-25,1,0
SP,2020-02-26,1,0
TOTAL,2020-02-26,1,0
SP,2020-02-27,1,0
TOTAL,2020-02-27,1,0
SP,2020-02-28,2,0
TOTAL,2020-02-28,2,0
SP,2020-02-29,2,0
TOTAL,2020-02-29,2,0
SP,2020-03-01,2,0
TOTAL,2020-03-01,2,0
SP,2020-03-02,2,0
TOTAL,2020-03-02,2,0
SP,2020-03-03,2,0
TOTAL,2020-03-03,2,0
SP,2020-03-04,3,0
TOTAL,2020-03-04,3,0
RJ,2020-03-05,1,0
SP,2020-03-05,6,0
TOTAL,2020-03-05,7,0
BA,2020-03-06,1,0
ES,2020-03-06,1,0
RJ,2020-03-06,2,0
SP,2020-03-06,10,0
TOTAL,2020-03-06,14,0
BA,2020-03-07,2,0
DF,2020-03-07,1,0
ES,2020-03-07,1,0
RJ,2020-03-07,2,0
SP,2020-03-07,13,0
TOTAL,2020-03-07,19,0
AL,2020-03-08,1,0
BA,2020-03-08,2,0
DF,2020-03-08,1,0
ES,2020-03-08,1,0
MG,2020-03-08,1,0
RJ,2020-03-08,3,0
SP,2020-03-08,16,0
TOTAL,2020-03-08,25,0
AL,2020-03-09,1,0
BA,2020-03-09,2,0
DF,2020-03-09,1,0
ES,2020-03-09,1,0
MG,2020-03-09,1,0
RJ,2020-03-09,3,0
SP,2020-03-09,16,0
TOTAL,2020-03-09,25,0
AL,2020-03-10,1,0
BA,2020-03-10,2,0
DF,2020-03-10,1,0
ES,2020-03-10,1,0
MG,2020-03-10,1,0
RJ,2020-03-10,8,0
RS,2020-03-10,1,0
SP,2020-03-10,19,0
TOTAL,2020-03-10,34,0
AL,2020-03-11,1,0
BA,2020-03-11,3,0
DF,2020-03-11,2,0
ES,2020-03-11,1,0
MG,2020-03-11,1,0
RJ,2020-03-11,13,0
RS,2020-03-11,2,0
SP,2020-03-11,30,0
TOTAL,2020-03-11,53,0
AL,2020-03-12,1,0
BA,2020-03-12,3,0
DF,2020-03-12,2,0
ES,2020-03-12,1,0
GO,2020-03-12,3,0
MG,2020-03-12,2,0
PE,2020-03-12,2,0
PR,2020-03-12,6,0
RJ,2020-03-12,16,0
RN,2020-03-12,1,0
RS,2020-03-12,4,0
SC,2020-03-12,2,0
SP,2020-03-12,46,0
TOTAL,2020-03-12,89,0
AL,2020-03-13,1,0
AM,2020-03-13,2,0
